ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,referrer,user_agent,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,filename,tags,username,password,proxied,orig_fuids,orig_mime_types,resp_fuids,resp_mime_types
"1445422184.208638","CUTe7d4rHNYiV7KZF8","192.168.2.64","51959","192.168.88.100","80","1","GET","-","/nice ports,/Trinity.txt.bak","-","-","0","0","-","-","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422191.567402","Co3pRC4aYpMbYBP4Ok","192.168.2.64","51978","192.168.88.25","80","1","OPTIONS","-","sip:nm SIP/2.","-","-","0","0","501","Not implemented","-","-","-","(empty)","-","-","VIA -> SIP/2.0/TCP nm;branch=foo","-","-","-","-"
"1445422236.756478","C7UzSW1y9y0aCxJQ8k","192.168.2.64","52073","192.168.88.100","80","1","OPTIONS","-","sip:nm SIP/2.","-","-","0","0","-","-","-","-","-","(empty)","-","-","VIA -> SIP/2.0/TCP nm;branch=foo","-","-","-","-"
"1445422289.381938","CsJfa63Tm2AjMmm2pe","192.168.2.64","52159","192.168.88.51","5120","1","GET","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","149","401","Unauthorized","-","-","-","(empty)","-","-","-","-","-","F8717y1CteE1yorTXe","text/html"
"1445422289.385586","CJqYWywK4tywLkXGj","192.168.2.64","52169","192.168.88.51","5120","1","GET","192.168.88.51","/master.jsp","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","95","404","Object Not Found","-","-","-","(empty)","-","-","-","-","-","F4VKsG41cnBixMYdn4","text/html"
"1445422289.380561","CQ62S72onQ858yc71l","192.168.2.64","52168","192.168.88.49","80","1","GET","192.168.88.49","/robots.txt","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","26","200","OK","-","-","-","(empty)","-","-","-","-","-","FWkDAp3u3X8V7n0eK4","text/plain"
"1445422289.381463","CUmIvM3effTpOUucJ6","192.168.2.64","52174","192.168.88.25","80","1","OPTIONS","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422289.591706","CaYzfG4bWqvzDlnxVa","192.168.2.64","52182","192.168.88.25","80","1","OPTIONS","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422289.379891","CzZOhq1dAOLfrMH4Ch","192.168.2.64","52160","192.168.88.60","80","1","OPTIONS","192.168.88.60","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","FfJxyy47XPJ4JQRwHc","text/html"
"1445422289.592098","CbEN9L1Jy6KQy3k3w9","192.168.2.64","52187","192.168.88.51","80","1","GET","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","2467","200","OK","-","-","-","(empty)","-","-","-","-","-","FRopbF3EY0eKVKsvQe","text/html"
"1445422289.381132","CAI5Nm2NPJooC3NH8","192.168.2.64","52172","192.168.88.60","80","1","GET","192.168.88.60","/.git/HEAD","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","203","302","Redirect","-","-","-","(empty)","-","-","-","-","-","FbDNUp41VybgAG01Ka","text/html"
"1445422289.591833","CPKqwJ22XGqgY8kOmd","192.168.2.64","52183","192.168.88.61","80","1","GET","192.168.88.61","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","203","302","Redirect","-","-","-","(empty)","-","-","-","-","-","FTslGf4WdCa10QdMTj","text/html"
"1445422289.381938","CCuSlb17rm9pK90nwg","192.168.2.64","52176","192.168.88.60","80","1","OPTIONS","192.168.88.60","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","FE2P1v3ox5kLWAFNF9","text/html"
"1445422289.591967","CUc2652gzOYZzFlGIk","192.168.2.64","52184","192.168.88.60","80","1","GET","192.168.88.60","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","203","302","Redirect","-","-","-","(empty)","-","-","-","-","-","FTgjHp4G4vHZ0ipmR5","text/html"
"1445422289.754808","CtsGRX2b6EgImMFJ1f","192.168.2.64","52191","192.168.88.51","80","1","GET","192.168.88.51","/favicon.ico","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","95","404","Object Not Found","-","-","-","(empty)","-","-","-","-","-","F6D8mC3pc661RDRTO3","text/html"
"1445422289.808332","CvgE5WjdvdOhWwQqf","192.168.2.64","52194","192.168.88.25","80","1","OPTIONS","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422289.866199","CyRpGM28WbOwiPAmXc","192.168.2.64","52199","192.168.88.61","80","1","GET","192.168.88.61","/auth/auth.asp","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","806","200","OK","-","-","-","(empty)","-","-","-","-","-","FbJDG7WucDDK5jPFg","text/html"
"1445422290.020238","Cee8da4E7JwBtGWBN3","192.168.2.64","52206","192.168.88.25","80","1","OPTIONS","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422289.865632","CfVfQs3c6AX2T8z6j5","192.168.2.64","52196","192.168.88.60","80","1","GET","192.168.88.60","/auth/auth.asp","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","817","200","OK","-","-","-","(empty)","-","-","-","-","-","Fslv0R2EfhIQhqkuod","text/html"
"1445422290.239120","CVBP5B2AwMUu0lytJ5","192.168.2.64","52214","192.168.88.25","80","1","OPTIONS","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422290.239258","CusqF5328WpN3x6Gr3","192.168.2.64","52215","192.168.88.25","80","1","GET","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","401","Not authorized","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422290.349694","CjYhN016rhA3R2L9X4","192.168.2.64","52220","192.168.88.51","5120","1","GET","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","2467","200","OK","-","-","-","(empty)","-","-","-","-","-","F6qph21efu9KjBlSG2","text/html"
"1445422289.865921","ClKzSr4XmFARZTHbN9","192.168.2.64","52198","192.168.88.60","80","1","OPTIONS","192.168.88.60","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","FofJ2e47wnZqYwl0p2","text/html"
"1445422290.459930","CD9rto31HlI0fXdzaa","192.168.2.64","52221","192.168.88.25","80","1","OPTIONS","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422290.520664","CWQKRkQkcwpwXi3Ac","192.168.2.64","52223","192.168.88.51","5120","1","GET","192.168.88.51","/favicon.ico","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","95","404","Object Not Found","-","-","-","(empty)","-","-","-","-","-","FVhbIi3Arlh18Sg3eb","text/html"
"1445422290.513640","Cp32Sc2mSJwO7LRfdc","192.168.2.64","52224","192.168.88.100","80","1","GET","192.168.88.100","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","1461","200","OK","-","-","-","(empty)","-","-","-","-","-","FOkqwTOmmIVhjOg37","text/html"
"1445422290.678547","C3UUpNR9sgFgfqvIe","192.168.2.64","52232","192.168.88.25","80","1","OPTIONS","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422290.565864","CkFVDg5XVhwGCNI1","192.168.2.64","52227","192.168.88.60","80","1","OPTIONS","192.168.88.60","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","FjJul7ou510OYgerh","text/html"
"1445422290.915767","CjkROE2rNDVGUr2xw1","192.168.2.64","52238","192.168.88.61","80","1","GET","192.168.88.61","/favicon.ico","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","203","302","Redirect","-","-","-","(empty)","-","-","-","-","-","FHbLNd1NRureDK2Qd7","text/html"
"1445422290.967679","CZzD654aCsfMr0Wm48","192.168.2.64","52236","192.168.88.25","80","1","OPTIONS","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422291.018922","C321aq4iM16fG7ohWl","192.168.2.64","52243","192.168.88.60","80","1","OPTIONS","192.168.88.60","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","F5zo0310yykTl2zMP1","text/html"
"1445422291.184861","CJOBEk2ntg4JOtCt8f","192.168.2.64","52245","192.168.88.25","80","1","OPTIONS","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422291.185004","CMORvE1hZpiUzlgMLi","192.168.2.64","52246","192.168.88.25","80","1","GET","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","401","Not authorized","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422291.235170","CfnoeTuNfkacQn0m5","192.168.2.64","52247","192.168.88.60","80","1","OPTIONS","192.168.88.60","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","FIQd2P1JsMWpLcHvJk","text/html"
"1445422290.968135","CbjFrzoGhgvdbOKId","192.168.2.64","52240","192.168.88.20","80","1","GET","192.168.88.20","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","3817","200","OK","-","-","-","(empty)","-","-","-","-","-","FG1kq43bhmHIpzrvl9","text/html"
"1445422291.619375","Cdp2F4jirPEIdSUV","192.168.2.64","52255","192.168.88.49","80","1","GET","192.168.88.49","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","714","200","OK","-","-","-","(empty)","-","-","-","-","-","FRxmtbsykbcg2Inlg","text/html"
"1445422291.454248","CYMbRc32m6oD5Shv64","192.168.2.64","52250","192.168.88.60","80","1","OPTIONS","192.168.88.60","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","F3mfGC3GErWZGJP6Wi","text/html"
"1445422291.454377","CHl8zC3D9UDxMxoCrh","192.168.2.64","52251","192.168.88.115","80","1","GET","192.168.88.115","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","200","302","Redirect","-","-","-","(empty)","-","-","-","-","-","FyVPeA4JegK7jSKzNk","text/html"
"1445422291.885204","CFHDbscCnXAbJTg4d","192.168.2.64","52260","192.168.88.60","80","1","OPTIONS","192.168.88.60","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","FgCGgF3Eq2iF8BLF3b","text/html"
"1445422291.885333","CMjFI52HlUdMZYnveg","192.168.2.64","52261","192.168.88.20","80","1","GET","192.168.88.20","/favicon.ico","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","2998","200","OK","-","-","-","(empty)","-","-","-","-","-","FUR55m2te2ZJIFLUOl","image/x-icon"
"1445422291.832760","C3BxJw2F16tIo2F9Ia","192.168.2.64","52257","192.168.88.100","80","1","GET","-","/","-","-","0","1461","200","OK","-","-","-","(empty)","-","-","-","-","-","FwY8a72RfDHu9wDvV2","text/html"
"1445422292.047762","CWSHIF3DtJZU1g1a2h","192.168.2.64","52266","192.168.88.49","80","1","GET","192.168.88.49","/favicon.ico","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","153","404","Not Found","-","-","-","(empty)","-","-","-","-","-","FyrTgAhYbCrAqNmwg","text/html"
"1445422292.100843","CPfsrOZ7cCBXYemOe","192.168.2.64","52267","192.168.88.60","80","1","OPTIONS","192.168.88.60","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","FOdKc34eTT6ncEcFl6","text/html"
"1445422291.938518","CoRXn81s8q5GYL1Dn4","192.168.2.64","52262","192.168.88.115","80","1","GET","192.168.88.115","/login.asp","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","2325","200","OK","-","-","-","(empty)","-","-","-","-","-","F2U4s5gTWsgvHQn6h","text/html"
"1445422292.319808","CbA7Wl4L9NUzgkvYn9","192.168.2.64","52272","192.168.88.60","80","1","OPTIONS","192.168.88.60","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","Fbi1GL3XDRsCrgM53h","text/html"
"1445422292.476080","CUm5VeacXeBZO6Rac","192.168.2.64","52279","192.168.88.51","80","1","GET","192.168.88.51","/.git/HEAD","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","95","404","Object Not Found","-","-","-","(empty)","-","-","-","-","-","F5lO0lp133V6482K6","text/html"
"1445422292.423562","C2JpXd1zR7s5f5dWEg","192.168.2.64","52277","192.168.88.100","80","1","GET","-","/","-","-","0","1461","200","OK","-","-","-","(empty)","-","-","-","-","-","F8uclz2Ai6Wp80Jv7","text/html"
"1445422292.587508","CmboUx49TQCD0cl8ma","192.168.2.64","52282","192.168.88.51","5120","1","GET","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","2467","200","OK","-","-","-","(empty)","-","-","-","-","-","FSAUO43HtvjLR5Bk2h","text/html"
"1445422292.581789","CVXVvh4pkFlOl2esz1","192.168.2.64","52281","192.168.88.25","80","1","GET","-","/","-","-","0","0","401","Not authorized","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422292.639583","CGURma28H3QMAEHbbl","192.168.2.64","52284","192.168.88.51","5120","1","GET","192.168.88.51","/flumemaster.jsp","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","95","404","Object Not Found","-","-","-","(empty)","-","-","-","-","-","FVLJBY2xpqeHcbm4Jb","text/html"
"1445422292.798306","ChSOn34MTcuMsSInK3","192.168.2.64","52289","192.168.88.61","80","1","OPTIONS","192.168.88.61","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","F3Wl1r34evSYDCN0Tg","text/html"
"1445422292.803389","Ckmes831b36fCdy9ee","192.168.2.64","52291","192.168.88.115","80","1","-","-","-","-","-","0","0","400","Page not found","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422292.812979","CkJjnGMWAuPE4q98k","192.168.2.64","52293","192.168.88.115","80","1","-","-","-","-","-","0","156","400","Page not found","-","-","-","(empty)","-","-","-","-","-","Fmo3ks4DnpPJKyCeRf","text/html"
"1445422292.854650","CTKJxs1JERWntl4DNh","192.168.2.64","52292","192.168.88.25","80","1","GET","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","401","Not authorized","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422293.066879","CTszfu4j8dNZqB408a","192.168.2.64","52300","192.168.88.51","80","1","GET","192.168.88.51","/robots.txt","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","95","404","Object Not Found","-","-","-","(empty)","-","-","-","-","-","F3Beww35vpwy6uQSdg","text/html"
"1445422293.119720","CeuCEV2ynqIfjEOZrc","192.168.2.64","52301","192.168.88.61","80","1","GET","192.168.88.61","/.git/HEAD","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","203","302","Redirect","-","-","-","(empty)","-","-","-","-","-","FUxPXi1Vo5VtVC96Wj","text/html"
"1445422289.380025","C8SduIJlPpV7Ucc1i","192.168.2.64","52161","192.168.88.100","80","1","GET","192.168.88.100","/.git/HEAD","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","-","-","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422295.554722","CXDAs242ypSjNWPiW7","192.168.2.64","52344","192.168.88.51","80","1","OPTIONS","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","31","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","FJxfLkcNXyiiIlNY6","text/plain"
"1445422295.714594","CRxGE43QvL4f6hNBl3","192.168.2.64","52346","192.168.88.51","80","1","OPTIONS","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","31","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","FRUKbk4cVt5imNIEpf","text/plain"
"1445422295.870961","CqlDae183gdV3fSx2c","192.168.2.64","52349","192.168.88.51","80","1","OPTIONS","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","31","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","FaxiGw3vw4EIiRpU47","text/plain"
"1445422296.027733","Cqf7zeXimG03gzBb","192.168.2.64","52350","192.168.88.51","80","1","OPTIONS","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","31","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","FwDK7D3Pgpa9rfNOs3","text/plain"
"1445422290.915620","Ceucpi3H8WBhumxHza","192.168.2.64","52237","192.168.88.100","80","1","GET","192.168.88.100","/favicon.ico","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","-","-","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422296.188602","COGKto2fqqJFaZPGX9","192.168.2.64","52352","192.168.88.51","80","1","OPTIONS","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","31","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","FVkHFdqkBNEvt8e41","text/plain"
"1445422296.349914","C1fu2u42WAImaCXitl","192.168.2.64","52354","192.168.88.51","80","1","OPTIONS","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","31","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","FaGmza4zPUHSL79BBa","text/plain"
"1445422296.506938","CS7GQK1NXMXGZ1w8aj","192.168.2.64","52356","192.168.88.51","80","1","OPTIONS","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","31","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","F3nXOi0jxydDCPGvb","text/plain"
"1445422296.667868","CyOOdQ3kfW9C7VPUX6","192.168.2.64","52359","192.168.88.51","80","1","OPTIONS","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","31","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","FpjKNW1dtdTDkg2BX9","text/plain"
"1445422296.668006","CZ7Itq3AQv5IOBMqy5","192.168.2.64","52360","192.168.88.25","80","1","GET","192.168.88.25","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","401","Not authorized","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422296.824060","CAEFO7381QEwu97pD3","192.168.2.64","52361","192.168.88.51","80","1","OPTIONS","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","31","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","FxgUrV1fo1lTM5f81g","text/plain"
"1445422296.875484","CsJNAFroMb9SrYu6e","192.168.2.64","52363","192.168.88.25","80","1","GET","192.168.88.25","/favicon.ico","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","0","401","Not authorized","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422297.244478","CSpSvc47la7YhMxPI8","192.168.2.64","52367","192.168.88.61","80","1","GET","192.168.88.61","/robots.txt","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","203","302","Redirect","-","-","-","(empty)","-","-","-","-","-","FoWhpa17uI3Ira5PMc","text/html"
"1445422297.667609","CIq4En1AFQXm2QBkth","192.168.2.64","52374","192.168.88.51","5120","1","OPTIONS","192.168.88.51","/","-","Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)","0","31","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","Fto0jE3wL4B9Mx1zKb","text/plain"
